Favorite Count,Retweet Count,Tweet Created At,Tweet Text,User Name
0,0,2019-07-31 01:05:05,"@citygirlvip @SenSanders @ewarren But honestly, I've woken up and I see only one person on that stage who will actually implement this policy and fight genuinely against the insurance lobby.",Democalypse 2020
0,0,2019-07-31 01:05:05,"The democratic candidates should create their own real debate where they can discuss policy with some substance and fact checking and won’t be constantly interrupted. #DemocraticDebate #DemDebatesRulesSuck
#TYT 

@ewarren @BernieSanders",KEMIE
0,0,2019-07-31 01:05:04,@ewarren Why didn’t you have a plan for that until after you saw which way the wind was blowing. You’re an opportunist and I have no faith in you to fight for medicare for all.,Ed McCullough
0,0,2019-07-31 01:05:04,"@BernieSanders @ewarren @washingtonpost @PeteButtigieg .@BetoORourke says the CDC can't stud gun violence. As a matter of law, the Dickey Amendment only prevents money going toward research aimed at promoting gun control. But as a matter of politics, that distinction is murky, and research has been limited.
https://t.co/X0g7BkSAjz https://t.co/bQevhULj87",PolitiFact
1,0,2019-07-31 01:05:03,@ShannonSchlafer @BernieSanders @ewarren Or they have nothing and don’t want anything 🤷🏻‍♂️,Steve Hillis
0,0,2019-07-31 01:05:03,@BetoORourke @PeteButtigieg @ewarren @BernieSanders @JohnDelaney @GovernorBullock @jaketapper @amyklobuchar Fact: All current gun violence will pale in comparison to the gun violence which will erupt if any of these candidates try to take weapons from the American people. #DemDebate,Aaron Lockhart
0,0,2019-07-31 01:05:03,Why does @ewarren NEVER answer the questions she is asked....,Robin said what?
0,0,2019-07-31 01:05:02,"@cr0sscheck @Alyssa_Milano @ewarren Republicans the party of hypocrisy proven by the last 2 and half years 
How’s that balancing the budget going 
Because republicans just added a trillion dollars to the dept without giving nothing to the working class",Tony C:
0,0,2019-07-31 01:05:02,Watching @BernieSanders &amp; @EWarren fiercely combat the lies and GOP rhetoric coming from “moderates” is so refreshing. #MedicareForAll,William Leonard
0,0,2019-07-31 01:05:01,@Alyssa_Milano @ewarren You need to get your eyes checked,❌ Dan Smith ❌
0,0,2019-07-31 01:05:01,@ewarren can't even spell 'border crossings'. https://t.co/4Zj1IRjemh,Kat⭐⭐⭐
0,0,2019-07-31 01:05:01,@ewarren You and Bernie are doing us proud!!,WhatDifferenceBetweenRacistFascistAndThierEnabler?
