Favorite Count,Retweet Count,Tweet Created At,Tweet Text,User Name
0,42,2019-07-31 01:57:35,"RT @TeamJoe: President Trump doesn’t get the basics when it comes to tariffs. It’s American farmers, workers, and consumers who are paying…",Joe Biden
0,35,2019-07-31 01:42:57,RT @TeamJoe: We must recognize that the impacts of climate change disproportionately fall on communities of color and low-income communitie…,Joe Biden
485,98,2019-07-31 01:22:00,"On what would have been his 46th birthday, my thoughts are with the family of my friend Reverend Clementa Pinckney. As we celebrate his life, let's continue on his legacy by living with compassion, kindness, and a relentless dedication to improving the lives of others. https://t.co/qDFArjl5Gb",Joe Biden
0,98,2019-07-31 01:11:14,"RT @TeamJoe: .@JoeBiden is the only candidate who has defeated the @NRA on the national stage—and he did it twice. 

As president, he’ll do…",Joe Biden
0,133,2019-07-31 00:48:09,RT @TeamJoe: Obamacare prohibits insurance companies from denying coverage or increasing premiums due to pre-existing conditions—it was gro…,Joe Biden
0,48,2019-07-30 23:02:04,"RT @TeamJoe: This Friday, @DrBiden will be in Iowa to meet members of the community! We hope to see you there. RSVP to join her in Glenwood…",Joe Biden
0,50,2019-07-30 23:01:58,"RT @TeamJoe: Nevada, this is big: @JoeBiden is heading your way this weekend! Join him in your community to talk about what’s at stake in t…",Joe Biden
842,211,2019-07-30 22:12:23,"President Trump &amp; Betsy DeVos continue to roll back our progress on LGBTQ rights. No child should feel unsafe in school because of their sexual orientation or gender identity.

A Biden administration will ensure all of our young people are affirmed &amp; accepted exactly as they are. https://t.co/P9j6zoCFwz",Joe Biden
887,157,2019-07-30 21:09:28,My plan builds on that legacy with a new public health insurance option like Medicare. Read the full plan here: https://t.co/34NCSYhO2C,Joe Biden
1431,234,2019-07-30 21:09:28,"54 years ago, President Johnson signed Medicare and Medicaid into law. This landmark legislation changed the lives of millions by providing the peace of mind that comes with quality, affordable health care.",Joe Biden
531,138,2019-07-30 19:32:05,"I’m grateful to Joe and Michelle for sharing their story and glad to hear Matthew is receiving the treatment he needs.

Read our full plan to protect and build on the Affordable Care Act to ensure everyone has access to the care they need: https://t.co/34NCSYhO2C https://t.co/RMwpEQE7bA",Joe Biden
1337,332,2019-07-30 18:32:00,"President Trump has failed on his promises for American workers time and time again. We need to rebuild the middle class, and this time make sure everybody comes along — regardless of race, gender, religion, sexual orientation, or disability. https://t.co/Df7rHBCzLp",Joe Biden
5242,1511,2019-07-30 00:58:00,"Two years ago, President Trump gave giant tax cuts to the super-wealthy and corporations. Now, he wants to rip free school lunches away from kids who need help the most. It’s heartless. No kid should go hungry in America. https://t.co/TybdVnFjLH",Joe Biden
