Favorite Count,Retweet Count,Tweet Created At,Tweet Text,User Name
0,0,2019-07-31 01:20:34,@KamalaHarris @NRA They're just regurgitated nonsense from every failed socialist country,Carrie Gagnon
0,0,2019-07-31 01:20:19,@DUMPSTERTRUFFL1 @tupactoo @KamalaHarris 😍sweet piece man.  I can shoot mice with one when I get it.,Bobcat
0,0,2019-07-31 01:20:17,It looks like @ewarren studied @KamalaHarris’ performance during the first debate #demdebate2 #DemDebates,Jean-Cosme Delaloye
0,0,2019-07-31 01:20:13,@phillipajones @HotlineJosh @DanaPerino @CNN @KamalaHarris Perfect! She can win if she finds a power player to blow. #fellatiowins,🇺🇸Mike Ness
0,0,2019-07-31 01:20:12,One of the best Unions speaks out for @KamalaHarris M4all Healthcare Plan! https://t.co/OE6HBMvSyx,Janet S
0,0,2019-07-31 01:20:12,"@HeWasAllTime @KamalaHarris @NRA Read her policy, nowhere does it mention a gun recall.",Donald Nelson
0,0,2019-07-31 01:20:09,@KamalaHarris @NRA kamala's presidency would be one big executive action.,Iowagram
0,0,2019-07-31 01:20:08,@analyzeit1 @MariannaNBCNews @KBeds @KamalaHarris I agree with Biden.,Pam
0,0,2019-07-31 01:20:07,@KamalaHarris What ever...Dems Debating now are championing President Trump's agenda...Ahhhh Haaa jaaa ha ha.,Steven Tungsten
0,0,2019-07-31 01:20:06,@KamalaHarris When pigs fly.,Michael D.Gannon
0,0,2019-07-31 01:20:04,@KamalaHarris @NRA You don’t get our guns even if you can find a couple of anti Americans to stand with you. https://t.co/2IfeBjqXwF,texanjp
0,0,2019-07-31 01:20:02,@SanjMohip @MikeGravel @marwilliamson @TulsiGabbard @AndrewYang @JohnDelaney @KamalaHarris I'd flip Tulsi and Gravel but it's basically spot on.,A$AP Chris 🐉🐉🐾🐾❤
0,0,2019-07-31 01:20:01,"To clarify Harris' healthcare plan, it's wise to actually read it. 

https://t.co/ywi9RmiH7Z",Beth🕶🚘𝚏𝚛𝚞𝚜𝚝𝚛𝚊𝚝𝚎𝚍 ⓟ𝚛𝚎𝚌𝚒𝚜𝚒o𝚗 𝚍𝚛𝚒𝚟𝕖𝚛
0,0,2019-07-31 01:19:55,@KamalaHarris @NRA Don't worry about it.,AnnieW
