Favorite Count,Retweet Count,Tweet Created At,Tweet Text,User Name
1652,306,2019-07-31 01:37:23,How many more communities need to go without clean water before we act? Enough. I introduced the Water Justice Act because every American deserves the right to clean water. #DemDebate,Kamala Harris
1444,363,2019-07-31 01:05:38,"We’re not waiting for a good idea — we have good ideas. What’s missing is the courage to stand up to the @NRA. As president, if Congress doesn't act, I'll take executive action to keep America safe. #DemDebate https://t.co/1jp7diMUdU",Kamala Harris
1070,276,2019-07-30 23:12:01,"Too many Americans are forced to choose between life-saving medication and putting food on the table. Enough. Add your name to say you support my Medicare for All plan.
https://t.co/A7QsruE7on",Kamala Harris
0,96,2019-07-30 21:58:00,"RT @abreezeclayton: I spent the last part of my Sunday with Darlene, canvassing the seniors home in Grinnell she lives in to get people to…",Kamala Harris
0,203,2019-07-30 20:26:00,RT @MiryamLipper: THREAD: Reviews are in and Iowans agree that @KamalaHarris has hit the nail on the head with her Medicare for All plan ou…,Kamala Harris
524,150,2019-07-30 19:08:01,".@JoyceWoodhouse and @sandra4nv are leaders on education, gun safety, and are members of the country's first female-majority legislature. Looking forward to standing alongside them as we fight for Nevada and the American people.
https://t.co/oHTA34TMNk",Kamala Harris
0,3913,2019-07-30 18:00:19,"RT @AOC: A Green New Deal is more than switching to renewables.

It’s about paying attention to frontline communities: everyday people whos…",Kamala Harris
4915,1014,2019-07-30 16:18:02,"In honor of President Johnson signing Medicare into law on this day in 1965, let's reaffirm our commitment and ensure all Americans have comprehensive health care. I was proud to lay out my #MedicareforAll plan this week so we can ensure everyone has access to the care they need.",Kamala Harris
1071,314,2019-07-30 14:47:20,"Your stories have helped me develop my Medicare for All plan. Nothing is more personal than your health care.

Share your health care story here and we'll highlight some throughout the week. https://t.co/jbSxhzqu0d https://t.co/XVQAZBsrbT",Kamala Harris
14340,2217,2019-07-30 01:26:02,"When I’m president, the middle class and working Americans will not bear the brunt of the burden of paying for Medicare for All. It’s time we ask those at the very top and on Wall Street to start contributing more to America’s health.",Kamala Harris
4152,1037,2019-07-29 23:52:00,"Right now, the U.S. spends $3.5 trillion a year on health care. 

If we do nothing over the next decade, that number will skyrocket to an estimated $6 trillion. 

We can’t afford the status quo. That’s why I’ve proposed my Medicare for All plan.
https://t.co/6QVwhMkAzI",Kamala Harris
0,142,2019-07-29 23:19:03,"RT @hesterleyser: This campaign isn’t just #ForThePeople, it’s by the people. Shout-out to our incredible volunteers for hosting their own…",Kamala Harris
6506,1251,2019-07-29 21:44:57,"Mass shootings keep happening in our country. It’s tragic. We need a president who will take action to ensure no other family experiences this type of deep pain. 
https://t.co/QnnXv9dfXM",Kamala Harris
0,507,2019-07-29 20:45:57,RT @SEIU: .@KamalaHarris’s “Medicare for All” plan recognizes that working people should not have to sacrifice wages for better healthcare…,Kamala Harris
1652,361,2019-07-29 20:42:01,"Imagine changing jobs and not having to worry about your health care coverage. Imagine going to the pharmacy and not having to worry about an outrageous price increase on the prescription drug you need. 

This is possible with my Medicare for All plan.
https://t.co/Iak0dOdKDY",Kamala Harris
2387,671,2019-07-29 20:20:29,"My Medicare for All plan will provide health care for every American, while protecting families making less than $100,000 from higher taxes. We must act now. https://t.co/fWyls2CSMx",Kamala Harris
2690,677,2019-07-29 18:42:00,"In our America, health care should be a right, not a privilege only for those who can afford it. My Medicare for All plan will make sure cost is not a barrier to care. 
https://t.co/XjrOU9rePZ",Kamala Harris
5048,1553,2019-07-29 16:15:12,"7 million people have lost their health insurance during Trump’s presidency.

21 million are at risk of losing coverage as this Administration and Republicans try to overturn the Affordable Care Act in the courts.

My Medicare for All plan ensures all Americans are covered.",Kamala Harris
0,1124,2019-07-29 15:04:07,RT @neeratanden: This is really great. @kamalaharris has an excellent transition to a Medicare for All that is based on the actual Medicare…,Kamala Harris
0,476,2019-07-29 15:03:58,"RT @TopherSpiro: The Harris plan is essentially ""Medicare for all who want it"" to build a smooth, natural pathway to Medicare for All. 
htt…",Kamala Harris
0,942,2019-07-29 15:03:40,"RT @ASlavitt: BREAKING: Harris puts forward a credible plan to cover all Americans that is a mix of ideology &amp; pragmatism.

Democratic plan…",Kamala Harris
11705,2350,2019-07-29 14:18:02,"My Medicare for All plan will cover:
✅Trips to the ER
✅Doctor visits
✅Vision
✅Dental
✅Hearing aids
✅Mental health
✅Substance abuse treatment
✅Comprehensive reproductive health care",Kamala Harris
11705,2505,2019-07-29 13:11:07,".@TheRevAl has spent his life fighting for what's right and working to improve our nation, even in the face of hate. It's shameful, yet unsurprising that Trump would continue to attack those who have done so much for our country.",Kamala Harris
4154,1161,2019-07-29 10:15:07,"Today, I’m announcing my Medicare for All plan. We’ve reached a crisis point for health care in America and it’s time we finally fix this broken system for good.
https://t.co/Z1R24lZg6S",Kamala Harris
9497,2219,2019-07-29 03:06:53,"Simply horrific. I'm grateful to the first responders who are on the scene in Gilroy, and my thoughts are with that community tonight. Our country has a gun violence epidemic that we cannot tolerate. https://t.co/WqWNxGAQnA",Kamala Harris
22029,4350,2019-07-29 01:28:00,"As teachers prepare to go back to school, many are asking friends and family to help fund classroom supplies — even digging into their own pockets to provide for their students. It shouldn’t be like this. Teachers must have the resources they need to do their jobs.",Kamala Harris
1394,381,2019-07-28 23:05:01,"Denver, I’m headed your way for a rally on August 2. I look forward to laying out my vision for the future of our nation and listening to people about the issues that matter to them. RSVP now:
https://t.co/3pOlT7lofl",Kamala Harris
2138,395,2019-07-28 21:34:01,Student loan relief for Pell Grant recipients is just one component of our plan to reduce the opportunity gap for Black entrepreneurs—along with $12 billion in direct capital. We can ensure Black entrepreneurs have a real shot at starting small businesses. https://t.co/ldwuC9RiIE,Kamala Harris
2935,429,2019-07-28 21:34:01,"I want to thank everyone for your feedback and clarify some confusion. We have an opportunity gap in our country, and one thing we need to do is support Black entrepreneurs. I have a plan to do that on multiple fronts.",Kamala Harris
3172,568,2019-07-28 19:18:00,"In 2016, I was proud to join two cases supporting transgender rights that opposed North Carolina’s hateful so-called “bathroom bill.” These laws only serve to attack transgender and non-binary people. As president, I will defend the dignity and rights of the trans community.",Kamala Harris
876,224,2019-07-28 17:41:01,"Your support means so much. Every contribution you give means we can hire more organizers on the ground and connect with undecided voters in targeted states. If you’re able, please consider donating today.
https://t.co/UYN3PFxmkt",Kamala Harris
6521,1481,2019-07-28 15:21:00,"Powerful words from Victor Blackwell.
https://t.co/KlaDPkD7dy",Kamala Harris
12669,2435,2019-07-28 14:24:21,"Two years ago, millions of Americans called, wrote letters, and organized together to save health care. Never forget: your actions make a difference. Our democracy is stronger when we raise our voices together.",Kamala Harris
11652,2490,2019-07-28 02:33:00,"Yesterday I announced that, as president, I’ll establish a student loan debt forgiveness program for Pell Grant recipients who start a business that operates for three years in disadvantaged communities. 
https://t.co/ldwuC9RiIE",Kamala Harris
9540,1982,2019-07-28 01:09:00,"Unions brought us to the eight-hour workday, the five-day workweek, sick leave, and vacation time.

Workers should never be made to fight for their case alone. They should be able to organize and stand together. #UnionStrong",Kamala Harris
