Favorite Count,Retweet Count,Tweet Created At,Tweet Text,User Name
0,0,2019-07-31 01:19:46,When someone mentions @BernieSanders and the camera pans to him #DemDebate https://t.co/KNJu1rLNut,Emanuel Garza
0,0,2019-07-31 01:19:46,@BernieSanders That does not make them Americans either!,Chad Jones
0,0,2019-07-31 01:19:46,"@marx_grocery @jaketapper @BernieSanders @TheDemocrats It's just the wrong framing (and to a point made repeatedly by other candidates, smacks of @GOP attempts to create a boogeyman).",Brad Cromes
0,0,2019-07-31 01:19:46,"@BernieSanders 
@realDonaldTrump @DonaldJTrumpJr @FoxNews crazy Bernie just said on the #Debatenight “ I have some practical experience “ imagine he says “some” #CrazyBernie",aehr
0,0,2019-07-31 01:19:45,"@cenkuygur @BernieSanders @ewarren Shut up Cenk, Warren is a poser. :O/-",Corvaire
0,0,2019-07-31 01:19:45,@johncusack @cenkuygur @BernieSanders @ewarren Ever notice how @johncusack only tweets his bullshit but never engages with any of his responders? That’s cause y’all are not of his class...your just his plebs 😂,Pam Duvall
0,0,2019-07-31 01:19:45,The two big cheers tonight were for @ewarren and @BernieSanders https://t.co/5ekFNkJNQo,The Triumphant Third Summers Brother🍕
0,0,2019-07-31 01:19:45,@EmersenLee @BernieSanders Yes. Looks like cardiac arrest could happen at any moment.,🍀Poetic_Chaos🍀
0,0,2019-07-31 01:19:45,Mayor @PeteButtigieg is the smartest on the stage and the only one not SHOUTING! yeah I’m not only talking to you @BernieSanders ... #DemDebate,Frank Mendoza
0,0,2019-07-31 01:19:45,@BernieSanders Textbook pandering.,Phil
0,0,2019-07-31 01:19:45,@BernieSanders Build the wall,Todd Wilson
0,0,2019-07-31 01:19:44,"@JohnDelaney @BernieSanders LIAR. No It Will Not. There is no basis in reality for this other than your Atlas Shrugged Uber Rich Mentality that if health insurance can not Take All our Money, whenever we get sick, there will be no health insurance. Not how Supply and Demand Works. All of Europe does this.",Joseph Wilson
0,0,2019-07-31 01:19:44,The entire strategy of tonight’s #CNNDebate is to pile on @BernieSanders and he’s doing great job in which the MSM will definitely not give him any credit. #DemDebates #DemocraticDebate #CNNDebate,BLAKELEY
0,0,2019-07-31 01:19:44,"@BernieSanders You're a stuttering, stammering, rage-aholic.",❌Jerry D🇺🇸
0,0,2019-07-31 01:19:44,"@KMSimmigration @paynedc @ewarren @PeteButtigieg @BernieSanders Google: 1 hour into #DemDebate, how the candidates have changed in search interest:

1. Delaney +3,400%
2. Ryan +3,200%
3. Hickenlooper +2,500%
4. Bullock +1,400%
5. Klobuchar +1,100%
6. O'Rourke +900%
7. Williamson +900%
8. Buttigieg +850%
9. Warren +450%
10. Sanders +350%",Gabriel Steel
0,0,2019-07-31 01:19:44,"@jbo323232 @Patriot_MM @BernieSanders Ahh yes.. The Republitard motto: If it doesn't affect me, it doesn't matter.
My husband is a retired vet.
We have what we need.
I do, however, love MANY MANY people who struggle.... with many things. 
That's why I give a shit. 
Because I'm not some selfish, heartless douche.",feelinWilliegood
0,0,2019-07-31 01:19:44,So weird listening to these career politicians saying they’re “ready to get into the fight” lol. Where you@been the last 20 years of your career!? @SenWarren @BernieSanders @ #DemDebate,broken_sniper
0,0,2019-07-31 01:19:43,Everyone onstage who isn’t @BernieSanders or @ewarren really ought to take a hint from which lines get applause and which ones fall flat. #DemDebate,ThisMicah
0,0,2019-07-31 01:19:43,How disingenuous. @CNNPolitics @jaketapper asks the whole grp if @BernieSanders is too extreme to beat #trump. Nice shot CNN. Every candidate is clamoring to have a M4All plan &amp;you choose to take a shot at Sanders instead of directly asking questions of each. #lazycnn #DemDebate,Robbin Milne⏳#Antiwar #4Peace
0,0,2019-07-31 01:19:43,@BernieSanders  #DemDebate  Bernie’s diaper is full too https://t.co/GXCKQ91BX7,Nick Reinert
0,0,2019-07-31 01:19:42,"Well, @ewarren and @BernieSanders are out here trying to lead while Delaney, Bullock, and Ryan out here just trying to hold this country and party back.  FOH.  #DemocraticDebate2020 #DemDebates",Manuel Salgado
0,0,2019-07-31 01:19:42,.@joerogan needs to have @BernieSanders on the podcast. Let’s make this happen! #JRE #DemDebates,Brady Braaten
0,0,2019-07-31 01:19:41,@TxDan_Gonzalez @BernieSanders He yells when questioned because he can’t explain how his policies will work or how to pay for them.,Jeff Bulman
0,0,2019-07-31 01:19:41,@BernieSanders Free healthcare for the undocumented??? #DemDebate,Dr Kim
0,0,2019-07-31 01:19:41,@brooklynnygirl @BernieSanders @Bernie2020FLFAN You love patriarchal old white men?,GailHarper
0,0,2019-07-31 01:19:40,@UFCW @BernieSanders This is insane,Aj Cartas
0,0,2019-07-31 01:19:40,@Skippphipps @BernieSanders insurance companies literally make their money by denying as many claims as possible. they are not your friends,a pleasant bird on the sill
0,0,2019-07-31 01:19:40,"@CNNPolitics @CNN @TimRyan @marwilliamson @amyklobuchar @BetoORourke @PeteButtigieg @SenWarren @BernieSanders @GovernorBullock @JohnDelaney @Hickenlooper @SenSanders .@JohnDelaney against fairytale economics

Warren in response...why does someone run for President if all they say what we can't do...we need to fight for what is right

Delaney said he has an entrepreneurial background, need to be sensible",I♥NYC
0,0,2019-07-31 01:19:40,@BenSpielberg @jaketapper @BernieSanders Bernie just dodged a binder thrown by tapper off screen,Jupiter L a b o u r W a v e Jones 🐬☢️🛸
0,0,2019-07-31 01:19:39,"@BernieSanders So, now the old man magically knows spanish? While in the middle of the debate? At least let the real author of these tweets use his/her name. Oh, and stop the pandering, please. It insults everyone.",Willi Waizenegger
0,0,2019-07-31 01:19:39,@BernieSanders Make sure your life span will last until than Bernie!,Sean Fischer
0,0,2019-07-31 01:19:39,@FrankLuntz @BernieSanders Too bad! #BonkersBernie,Katydid
0,0,2019-07-31 01:19:38,@rosebudkitty @BernieSanders Because Americans also speak Spanish,Saludos 🐝
