Favorite Count,Retweet Count,Tweet Created At,Tweet Text,User Name
1150,272,2019-07-31 02:01:43,"If anyone thinks that corporate America gives a damn about the average American you are mistaken.

If they can save 5 cents they will ship jobs to China. #DemDebate",Bernie Sanders
2017,361,2019-07-31 01:42:02,We are going to defeat Donald Trump (and beat him badly) because we are going to expose him as a fraud and a phony. #DemDebate https://t.co/0mA4oPLWuo,Bernie Sanders
1932,486,2019-07-31 01:37:34,"Don't tell me what's in Medicare for All. I wrote the damn bill! #DemDebate

Make a contribution and get our sticker now --&gt; https://t.co/cGNDyKXZ5k",Bernie Sanders
6042,1383,2019-07-31 01:32:21,"I get a little tired of Democrats afraid of big ideas. If Republicans could give trillions in tax breaks to billionaires, please don't tell me we cannot take on the fossil fuel industry. #DemDebate",Bernie Sanders
2857,570,2019-07-31 01:18:42,Mark my words: We are going to defeat Donald Trump and beat him badly. #DemDebate https://t.co/8KkIJMFm5W,Bernie Sanders
0,1006,2019-07-31 01:16:02,"RT @People4Bernie: ""Maybe you did that and made money off healthcare, but our job is to run a nonprofit healthcare system"" @BernieSanders #…",Bernie Sanders
1798,483,2019-07-31 01:15:18,"Una madre y niño que caminan 1,000 millas huyendo de la violencia no son criminales. Fin de la discusión. #DemDebate",Bernie Sanders
0,329,2019-07-31 01:11:08,"RT @UFCW: .@BernieSanders is right. Amazon paid $0 in taxes on over $10 billion in profits. 

All while the avg American pays $10,489 in ta…",Bernie Sanders
0,312,2019-07-31 01:10:54,"RT @NPR: Bernie Sanders said in his opening statement that half of Americans are “living paycheck to paycheck.""

That's true, according to…",Bernie Sanders
2658,540,2019-07-31 01:06:06,"We must end the epidemic of gun violence in this country. As president I will:

✅ take on the NRA
✅ expand background checks
✅ end the gun show loophole
✅ ban the sale and distribution of assault weapons.

#DemDebate",Bernie Sanders
12901,3517,2019-07-31 01:00:47,I wrote the damn bill! #MedicareForAll #DemDebate https://t.co/4YtVuDbPWc,Bernie Sanders
8727,1818,2019-07-31 00:57:18,"A mother and child who walk 1,000 miles fleeing violence are not criminals. End of discussion. #DemDebate",Bernie Sanders
4375,1013,2019-07-31 00:52:15,"Medicare for All means expanding benefits to include dental care, eyeglasses and hearing aids. I know that because I wrote the damn bill. #DemDebate",Bernie Sanders
2606,850,2019-07-31 00:49:33,"It's disappointing to see some Democrats repeating a lie you normally hear from health insurance lobbyists to attack Medicare for All. In a Bernie Sanders administration, hospitals that provide necessary care to their communities will stay open, period. https://t.co/xSz9snQfCV",Bernie Sanders
1153,314,2019-07-31 00:46:26,Amy Vilela's daughter died because of the greed of our health care system. We need Medicare for All. Nothing less. #DemDebate https://t.co/K49TatcUrM,Bernie Sanders
2626,632,2019-07-31 00:42:13,"There are millions of people who HAVE insurance who still can’t afford to go to the doctor, or come out of the hospital bankrupt.

Medicare for All means:
✅ no copays
✅ no deductibles
✅ no premiums 

#DemDebate",Bernie Sanders
2560,673,2019-07-31 00:37:02,John Delaney is wrong. We cannot allow private health insurance companies to make billions in profits while Americans die because they can't afford health care. #DemDebate https://t.co/zLEkVQaPEK,Bernie Sanders
933,183,2019-07-31 00:35:35,"Cada año, millones de personas pierden su seguro médico. Si desea seguridad y libertad de elección en un sistema de atención médica que no lo llevará a la bancarrota, la respuesta es Medicare para todos. #DemDebate",Bernie Sanders
2353,720,2019-07-31 00:30:53,"Tonight 34 million Americans are uninsured but health insurance and drug companies made $100 billion in profits last year.

People are homeless but companies like Amazon did not pay a nickel in income tax.

We have to come together to transform this country. #DemDebate https://t.co/A42U4j9dYF",Bernie Sanders
1840,450,2019-07-31 00:30:18,"Tens of millions of people lose their health insurance every year. If you want security and freedom of choice in a health care system which will not bankrupt you, the answer is Medicare for All. #DemDebate",Bernie Sanders
0,274,2019-07-31 00:20:43,RT @ninaturner: News Flash: #DemDebate #Bernie2020 https://t.co/F2ySBmdGHj,Bernie Sanders
960,295,2019-07-30 22:57:12,The second Democratic debate with Bernie Sanders is about to start. What do you want to see tonight? Join the conversation and donate at https://t.co/3BbQ1L1yES https://t.co/iihlNKrlNM,Bernie Sanders
707,176,2019-07-30 22:31:23,Tonight I'll be on stage at the second Democratic debate. Coming up soon: tune in at 7 ET for a live pre-show with Team Bernie at https://t.co/vreIiWfeoS. https://t.co/601BjkFWUB,Bernie Sanders
0,994,2019-07-30 22:31:12,RT @PramilaJayapal: I appreciate the robust healthcare debate my Democratic colleagues have brought to the table. But as lead sponsor of #M…,Bernie Sanders
5903,1300,2019-07-30 22:24:07,"54 years ago today, LBJ signed Medicare into law, guaranteeing health care to people 65 and older.

At the time it was called ""socialist"" by opponents. Half a century later it is still incredibly popular.

When we are in the White House, we will expand Medicare to ALL.",Bernie Sanders
0,5212,2019-07-30 21:21:55,RT @iamcardib: Hey guys make sure ya watch the debate tonight!,Bernie Sanders
0,113,2019-07-30 21:13:56,RT @QuinnNystrom: Waiting in line to get into the Fox  Theatre for the Democratic Presidential Debate! So honored to be Senator ⁦@BernieSan…,Bernie Sanders
7459,1337,2019-07-30 19:59:32,Are you ready for a radical statement? When elected president I will not reappoint Betsy DeVos as Education Secretary. https://t.co/lRjV8nEZkG,Bernie Sanders
10990,2100,2019-07-30 18:22:53,I don't think the purpose of government should be to protect the wealth of the rich and powerful corporations like it does today. I think it should be to support the needs of working people.,Bernie Sanders
2063,528,2019-07-30 16:15:33,My pledge: to not take contributions from the health insurance or pharmaceutical industry and instead prioritize the health of the American people over health industry profits. I ask all my fellow candidates to do the same: https://t.co/1f0HThs0Vo,Bernie Sanders
11182,2080,2019-07-30 15:13:38,"Unlike Trump, I grew up in a rent-controlled apartment.

Unlike Trump, I don't think we should slash federal housing programs, raise rents on low-income Americans and encourage gentrification.

Unlike Trump, I believe housing is a right.
https://t.co/77oubzvPcf",Bernie Sanders
8626,1719,2019-07-30 13:35:40,"The billionaire class will be behind Trump with endless amounts of money. We need an energized population of young people, working-class people and people of color—and the largest voter turnout by far in history—to beat him. And our campaign is going to do that.",Bernie Sanders
45902,8073,2019-07-30 03:07:18,"Today @iamcardib and I finally met. We had a great conversation about the future of America. 

And let me tell you: Cardi B is right.

Together, we’ll get millions of young people involved in the political process and transform this country. Stay tuned for our video coming soon! https://t.co/L9mQ8InMZu",Bernie Sanders
22083,4265,2019-07-29 22:38:50,"I have been criticized for saying this, but I do not believe CEOs of pharmaceutical companies should be making tens of millions of dollars a year while working people are dying from rationing their medicine.",Bernie Sanders
0,266,2019-07-29 21:48:49,"RT @janeosanders: With @RashidaTlaib, @BullockSenator, and other elected officials/community leaders honoring this community's work to reco…",Bernie Sanders
6196,1147,2019-07-29 21:43:54,We cannot continue to allow private health insurance companies to make massive profits by denying care to those that need it. That is fundamentally immoral and that is why we need Medicare for All.,Bernie Sanders
15272,2969,2019-07-29 20:27:39,"Why does Trump continue to use racism, bigotry and xenophobia to divide us?

Because he can only win when the people of this country turn against each other.

We are much more powerful than him, and the rest of the billionaire class, when we are united.",Bernie Sanders
30830,6145,2019-07-29 19:18:21,"Greed is the religion of the billionaire class. And a nation based on greed will not survive morally, economically or politically.

That is why we fight to take power back from the billionaires and put it in the hands of the people, where it belongs.",Bernie Sanders
0,4376,2019-07-29 18:24:35,RT @iamcardib: Talk about it ...they hate to see it. https://t.co/MIoM0Jpuhc,Bernie Sanders
9160,2314,2019-07-29 17:37:25,I can’t believe I have to say this: No child is a criminal and no child should be put into cages. We need real immigration reform that treats people with dignity. https://t.co/Xx9ujW49s3,Bernie Sanders
5050,970,2019-07-29 16:22:04,"It will take political courage and a mass movement of people, but the bottom line is: we do not have to tolerate that one in five adults in America cannot afford their prescriptions while pharmaceutical company CEOs make millions.",Bernie Sanders
1394,379,2019-07-29 15:55:45,The IBU just voted to strike for the first time in 42 years. They are striking for better working conditions and fully-funded ferry service for the community. I stand with the IBU in this and urge @GovDunleavy to bargain in good faith with these workers. https://t.co/IWgcMMJdKK,Bernie Sanders
13425,2377,2019-07-29 13:31:11,"Trump's lies and racism never end. 

While I have been fighting to lift the people of Baltimore and elsewhere out of poverty with good paying jobs, housing and health care, he has been attacking workers and the poor. https://t.co/7N0K4GQgEO",Bernie Sanders
15839,3328,2019-07-29 12:31:29,"This is sickening to wake up to. 

Our corrupt political system, which is controlled by the gun lobby, has a lot of waking up to do.

When our children are being shot in places that should be safest, we're failing. Let's get serious about gun control. https://t.co/gzQHkQoFf2",Bernie Sanders
17901,5835,2019-07-29 00:58:42,"This family was able to save $10,000 buying insulin for their son in Canada, where the exact same insulin is one-tenth the price.

The profits the drug companies are making ripping off the American people is scandalous, it is outrageous and it has got to end. https://t.co/Rew4ftIo0o",Bernie Sanders
0,537,2019-07-28 22:40:50,RT @BreatheNewWinds: @BernieSanders @People4Bernie @OFB2020 @andyg_live @SenSanders Hunter Sego started rationing his insulin when he found…,Bernie Sanders
17987,5761,2019-07-28 20:02:12,"This vial of insulin costs just $6 to manufacture.

At this pharmacy in Windsor, Ontario, it can be purchased for $32. Twenty minutes away, in Detroit, the same exact vial costs $340.

It is time for a government that works for the American people, not drug companies' profits. https://t.co/Uo2T8GG54T",Bernie Sanders
0,1434,2019-07-28 19:38:39,"RT @People4Bernie: @BernieSanders Incredibly emotional moment in Canada: ""Today I saved $10,000. $1000 got me 6 months of insulin for my so…",Bernie Sanders
0,81987,2019-07-28 17:13:18,"RT @tylerevansokay: 🇨🇦: insulin manufactured for around $6
🇺🇸: insulin manufactured for around $6

🇨🇦: insulin costs $32
🇺🇸: insulin costs…",Bernie Sanders
15697,3356,2019-07-28 16:58:02,"Three drug companies control 90 percent of the insulin market, and year after year they raise the price of insulin at the same levels.

I will appoint an Attorney General who will enforce our antitrust laws, and executives caught engaging in price-fixing will go to jail.",Bernie Sanders
0,1306,2019-07-28 16:33:04,"RT @People4Bernie: ""Three drug companies made $14.5 billion in profit last year, control 90% of the insulin in this country, it's just an a…",Bernie Sanders
0,414,2019-07-28 16:32:03,RT @QuinnNystrom: Traveling to 🇨🇦 today w/ ⁦@SenSanders⁩ and a group of ppl w/ type 1 diabetes who desperately need affordable insulin. For…,Bernie Sanders
0,531,2019-07-28 16:31:04,RT @oh_eyelean: I’m incredibly overwhelmed seeing all the tweets about this trip. I vividly remember dropping a vial of Lantus when I was 1…,Bernie Sanders
0,233,2019-07-28 16:01:12,RT @amybwang: .@QuinnNystrom buys a vial of insulin that will last her 1-2 weeks. It retails on average for $340 in the U.S. In Canada it s…,Bernie Sanders
0,243,2019-07-28 16:00:19,RT @CarmenYulinCruz: Es increíble que se pueda comprar insulina en Canada por una décima parte de lo que se compra en USA. Bernie Sanders d…,Bernie Sanders
3514,832,2019-07-28 15:54:36,LIVE NOW: I’m in Canada with diabetics buying insulin at one-tenth the price that they pay in the U.S. We will take on the greed of the pharmaceutical industry. https://t.co/9JHhcLD7tI,Bernie Sanders
0,387,2019-07-28 15:53:01,RT @CarmenYulinCruz: This is something that must change and @BernieSanders will get it done. It is a crime that you can buy the same medici…,Bernie Sanders
0,538,2019-07-28 15:47:39,RT @LaurenMGibbons: Sen. Bernie Sanders visits Canadian pharmacy with US citizens getting insulin. Big crowd gathered https://t.co/XKDbZFYu…,Bernie Sanders
0,1492,2019-07-28 15:37:59,RT @armandaviram: “Think about the kind of profits they’re making in the United States. It is scandalous. It is outrageous and it cannot co…,Bernie Sanders
0,373,2019-07-28 15:37:06,RT @adamkelsey: Good morning from the bus ⁦@BernieSanders⁩ is taking to Canada with a group of people with Type I diabetes. We’re in Windso…,Bernie Sanders
0,997,2019-07-28 15:22:15,RT @laurenegambino: .@BernieSanders holds up a vile of insulin that he’s told $340 on average in the US and lasts about one to two weeks fo…,Bernie Sanders
21202,4951,2019-07-28 14:45:29,"I just boarded the bus in Detroit with diabetics, on our way to Windsor, Canada, to buy affordable insulin.

Americans are paying $300 for insulin. In Canada they can purchase it for $30. We are going to end pharma’s greed. https://t.co/PuR520Y7Qy",Bernie Sanders
0,789,2019-07-28 12:46:06,"RT @CaraKorte: This morning @BernieSanders goes from Detroit to Windsor, OT, accompanying Diabetes patients purchasing cheaper insulin in C…",Bernie Sanders
1473,391,2019-07-28 00:33:12,"After decades of economic decline and increased poverty, the government of Puerto Rico must finally respond to the needs of struggling working families, and not the greed of vulture capitalists from Wall Street who have exacerbated the financial crisis on the island. https://t.co/CVG8eHG0qI",Bernie Sanders
10216,2022,2019-07-28 00:09:00,"The fossil fuel companies lied to us about climate change for decades, and they are not going to help us solve our climate crisis now. We are going to save this planet by taking them on and building an unprecedented movement for a Green New Deal.",Bernie Sanders
14058,3017,2019-07-27 21:55:26,"Here's what's really going on: @RepCummings has been busy revealing the failures of the Trump administration and exposing the greed of Trump’s friends in the pharmaceutical industry, and our racist president doesn't like it. https://t.co/tlfy2M4mzL https://t.co/6s4ZU6gvlW",Bernie Sanders
2723,700,2019-07-27 20:30:09,"“He is the leader in trying to stop what’s happening in Yemen, which is one of the great atrocities and horrors of the world today.”

@_michaelbrooks and @briebriejoy discuss our vision for a new foreign policy on this week’s Hear the Bern: https://t.co/IT4uq2Md7w https://t.co/12pd9sAQef",Bernie Sanders
0,264,2019-07-27 20:18:24,RT @IAinsulin4all: Another caravan to Canada to get cheaper insulin! Hopefully the coverage makes more people aware of the struggle we face…,Bernie Sanders
0,255,2019-07-27 19:30:30,"RT @joeldjohnson86: @BernieSanders Senator, this is my mother. She died of diabetes in 2009. I thank you for continuing this fight for her,…",Bernie Sanders
17156,5531,2019-07-27 18:55:00,"The inventors of insulin sold the patent for just $1 so it would be available to all.

97 years later, Americans are dying because drugmakers like Eli Lilly charge $300 for a vial of insulin. Tomorrow I will be joining diabetics to buy insulin in Canada for one-tenth the price. https://t.co/QbvLnr91Wt",Bernie Sanders
1895,487,2019-07-27 16:56:00,"We must undo the damage Trump has done to the rights of home care workers. We will enact a domestic workers bill of rights and guarantee these workers a living wage, workplace safety protections, fair scheduling, and protect their right to organize. https://t.co/5BEBe2aHBl",Bernie Sanders
21684,5240,2019-07-27 15:15:03,"I relish the idea of defeating Donald Trump, the most dangerous president in history. But more importantly, I look forward to working with millions of you to create a government based on love and compassion, not hate and greed. https://t.co/sfanZv7lt9",Bernie Sanders
14438,3468,2019-07-27 02:24:00,"The pharmaceutical industry is the biggest bunch of crooks in this country.

When I am president, we are going to end their greed and slash prices for prescription drugs. https://t.co/HlLmP5b5IQ",Bernie Sanders
2243,605,2019-07-27 02:16:18,Rally with Bernie in Santa Monica --&gt; https://t.co/9hyrt6XsuZ,Bernie Sanders
3118,893,2019-07-27 01:35:00,"Donald Trump said he'd be a different kind of Republican. Instead, he has continued the same attacks on Medicare, Medicaid and Social Security.

We are not going to abandon our seniors. Every American has a right to a secure retirement. https://t.co/SgNw27Spar",Bernie Sanders
0,473,2019-07-27 01:12:14,"RT @aldatweets: Wow, I'm extremely excited I had this amazing chance to talk about the Green New Deal, and @BernieSanders's inspiring histo…",Bernie Sanders
11221,3184,2019-07-27 00:12:00,"A vial of insulin costs $300 in the United States.

On Sunday, I'm joining a group of diabetics to go across the border to Canada, where the same medicine — the exact same — costs $30. https://t.co/PaNKlu3XIJ",Bernie Sanders
12895,2165,2019-07-26 23:38:48,"You do not have to pull out your credit card when you drop your child off at school or when you call the fire department.

You shouldn't have to when you are sick and need to see a doctor. That is what Medicare for All will deliver.",Bernie Sanders
1960,432,2019-07-26 22:14:00,I stand with @UNITEHERE11 hotel workers fighting for protections from sexual assault and fair compensation for their work. Everyone deserves dignity in the workplace. https://t.co/J2PBdKIztz,Bernie Sanders
0,148,2019-07-26 21:56:15,RT @KateAronoff: The Bernie + @aldatweets climate and class struggle mash-up the people deserve!! 🌹🌎 https://t.co/iBjfWj7eDr,Bernie Sanders
3345,1099,2019-07-26 21:21:00,"No amount of dealmaking in Washington is going to get the fossil fuel industry to give up their greed. That is never how change has taken place.

To prevent the worst effects of climate change, we need a mass movement for a Green New Deal. https://t.co/KA6ahkbaF2",Bernie Sanders
0,241,2019-07-26 20:36:57,"RT @briebriejoy: This story is incredible. 

We all need to be in this fight with @amy4thepeople. https://t.co/d8xVBmw8cM",Bernie Sanders
987,276,2019-07-26 20:30:00,"The @CWAUnion is exactly right. This merger will lead to higher costs, worse service, and lost jobs. If the great trust buster Teddy Roosevelt were alive today, I know what he’d say: break them up. https://t.co/TXuAmuoz5P",Bernie Sanders
0,535,2019-07-26 19:36:56,RT @RoKhanna: Bernie beats Trump. https://t.co/KzgBD6Lske,Bernie Sanders
2586,437,2019-07-26 19:36:44,"Every person with a disability deserves the right to live in the community and have the services and supports they need to pursue the American Dream. This right must be available to all, free of waiting lists and means tests. It is our moral responsibility to make it happen.",Bernie Sanders
2590,436,2019-07-26 19:36:44,"We must guarantee people with disabilities the right to live in the community; truly integrated employment that pays a living wage; affordable, accessible housing; and the right to health care, including mental health care and home and community based services and supports.",Bernie Sanders
4282,822,2019-07-26 19:36:43,"Today, as we commemorate the 29th anniversary of the Americans with Disabilities Act, we must recommit to championing the rights of people with disabilities. As a nation, we have a moral responsibility to ensure that all people with disabilities have their rights protected.",Bernie Sanders
0,149,2019-07-26 19:07:20,"RT @alexandrasiera: .@amy4thepeople is not alone — 35,000 American families go through this. We will not stop fighting until we get Medicar…",Bernie Sanders
0,213,2019-07-26 18:34:21,RT @jozettenv: Can’t believe Believe me and my mom are on a Bernie video!!! We’ve been dreaming about this day for a while! We’re very grea…,Bernie Sanders
0,110,2019-07-26 18:20:38,"RT @todd__albright: SATURDAY IN DETROIT: Opening for the Senator from Vermont, BERNIE SANDERS! Thrilled to be a part of this. #feelthebern…",Bernie Sanders
0,84,2019-07-26 18:08:55,"RT @ThisAlexTin: Today @BernieSanders out with a another video spot featuring @amy4thepeople, whose daughter died at 22 https://t.co/VTGXuX…",Bernie Sanders
0,102,2019-07-26 18:00:22,RT @GenderJill: @amy4thepeople lost her daughter because of the greed of insurance companies. There is no place for private insurance in a…,Bernie Sanders
0,222,2019-07-26 17:50:51,"RT @ariannaijones: ""She had a blood clot, a preventable disease. We’re talking about a couple thousand dollars in treatment. I don’t want a…",Bernie Sanders
0,176,2019-07-26 17:47:45,"RT @tylerevansokay: As long as health care is treated as a commodity, we will continue to see needless suffering and anguish like what Amy…",Bernie Sanders
