Favorite Count,Retweet Count,Tweet Created At,Tweet Text,User Name
632,133,2019-07-31 02:00:07,"People want access to our markets—so we need to hold other countries to standards. Right now the whole game is working for the big multinational corporations, not American workers. We need to change that. #DemDebate",Elizabeth Warren
1251,305,2019-07-31 01:58:57,"For decades we’ve had a trade policy written by giant multinational corporations. They have no loyalty or patriotism. If they can make a nickel by moving a plant overseas, they’ll do it. My new trade plan puts small businesses, farmers, and entrepreneurs at the table. #DemDebate",Elizabeth Warren
0,300,2019-07-31 01:50:14,RT @TeamWarren: We're standing by a candidate we believe in. @ewarren isn't afraid—and neither are we. #DemDebate https://t.co/ZaPd1wRAI5,Elizabeth Warren
0,186,2019-07-31 01:50:08,RT @TeamWarren: The climate crisis is the existential crisis of our time. @ewarren has a plan to invest $2 trillion in green research and m…,Elizabeth Warren
1524,290,2019-07-31 01:49:33,My education plan invests a minimum of $50 billion in HBCUs and Minority-Serving Institutions. That’s one step our country must take to level the playing field for Black and Brown Americans. #DemDebate,Elizabeth Warren
8336,2143,2019-07-31 01:45:20,We need to call out white supremacy for what it is: Domestic terrorism—and that poses a threat to America. #DemDebate,Elizabeth Warren
12560,3114,2019-07-31 01:36:59,I genuinely do not understand why anyone would go to all the trouble of running for president just to get up on this stage and talk about what’s not possible. #DemDebate https://t.co/cOCz5TS3AF,Elizabeth Warren
2805,609,2019-07-31 01:34:13,"Climate change is an existential crisis in our world. It puts everything living on our planet at risk. My Green Manufacturing plan would invest $2 trillion in green research and exporting, and create 1.2 million new American jobs in green manufacturing. #DemDebate",Elizabeth Warren
30405,6949,2019-07-31 01:23:02,I genuinely do not understand why anyone would go to all the trouble of running for president just to get up on this stage and talk about what’s not possible. #DemDebate,Elizabeth Warren
5490,1120,2019-07-31 01:21:54,"I took on the big banks, and I beat them. I took on Wall Street CEOs, and I beat them. I took on a popular incumbent senator, and I beat him. 

Democrats win when we go out there and fight for it. I’m not afraid. And for Democrats to win, you can’t be afraid either. #DemDebate",Elizabeth Warren
0,259,2019-07-31 01:14:46,"RT @TeamWarren: We must live our values. @ewarren will not criminalize mothers, babies, and families fleeing violence and seeking refuge in…",Elizabeth Warren
3904,766,2019-07-31 00:57:34,"Rules matter. And it matters if we say our rule is to put people in cages. What we need to do is have a sane immigration system that keeps us safe, but does not criminalize mothers and babies fleeing violence and seeking refuge in America. #DemDebate",Elizabeth Warren
1511,281,2019-07-31 00:56:47,We have to be an America that is clear on immigration. We need to expand legal immigration and fix the crisis at the border. What we can’t do is play into Donald Trump’s hands. #DemDebate,Elizabeth Warren
3283,843,2019-07-31 00:53:00,The problem is that right now the criminalization statute is what gives Trump the ability to take children away from their parents &amp; lock up people at our borders. We must be a country that lives our values. That means we cannot make it a crime to come to our country. #DemDebate,Elizabeth Warren
0,441,2019-07-31 00:44:43,"RT @TeamWarren: We need to be the party of big, structural change. @ewarren knows what's broken in this country—and she has a plan to fix i…",Elizabeth Warren
0,939,2019-07-31 00:44:37,RT @TeamWarren: Let's stop using Republican talking points. #DemDebate https://t.co/vrFgfoOrhK,Elizabeth Warren
2143,506,2019-07-31 00:41:22,Washington works great for the giant drug companies and insurance companies. Let’s be clear: These insurance companies don’t have a god-given right to suck billions of dollars out of our health care system. We need to have the courage to fight back. #DemDebate,Elizabeth Warren
