Date,Favorite,ID,Retweet,Text
2019-08-01 10:01:00,2120,1156867416338632704,431,"Last night on the debate stage, I shared my bold vision for the future of our country. Everyone knows who Donald Trump is. Let’s show them who we are.

There’s nothing we can’t do — together. #DemDebate https://t.co/gA2dYbUD05"
2019-08-01 04:58:53,2799,1156791386227781632,549,Mr. President — this is America. We are strong and great because of our diversity. #DemDebate https://t.co/XjveDSBJ0T
2019-08-01 04:16:06,5908,1156780622318321664,1258,"Everybody knows who Donald Trump is. We have to let them know who we are.

We choose science over fiction, hope over fear, and unity over division. #DemDebate https://t.co/6sX9jZ1GGr"
2019-08-01 02:53:21,2554,1156759796382601219,647,"I just got off the stage where I shared my bold vision for our future built on uniting our country. Because I know if we work together, there’s nothing we can’t do.

Let's keep our momentum going. If you liked what you heard tonight, text JOE to 30330 and let's get to work. https://t.co/EDIKTYiJB1"
2019-08-01 02:50:57,887,1156759192587448320,132,That’s all we have for tonight’s #DemDebate—thanks for tuning in! Make sure to follow @TeamJoe to keep up-to-date with everything happening on our campaign.
2019-08-01 02:49:02,1049,1156758710733221889,174,"Debate Night #2 is in the books.

#DemDebate https://t.co/swo54INprG"
2019-08-01 02:24:38,836,1156752567306731520,159,"We can protect our interests in Afghanistan, including the possibility of a terrorist threat re-emerging, without a large troop presence. That is what Joe Biden will do as president. https://t.co/5viTYUtn3l"
2019-08-01 02:24:37,1113,1156752566551797760,215,"Joe Biden has long believed that the US should narrow rather than broaden its military efforts in Afghanistan, and has for years advocated for ending the war responsibly. We can't keep spending tens of billions of dollars a year to sustain a stalemate.
#DemDebate"
2019-08-01 02:16:27,1753,1156750510822711297,373,"Joe Biden believes that women have a constitutional right to choose. Roe v. Wade is the law of the land, and Biden will work to codify it. He’ll continue to fight for a woman’s right to make her own health care decisions with her doctor.
#DemDebate"
2019-08-01 02:14:54,2058,1156750121197084678,376,"Finally, Joe Biden has been integral to some of the biggest child care tax credit wins in our history, including in the Recovery Act and the fiscal cliff deal.

And as president, he'll expand the child care tax credit to up to $8,000 per family.
#DemDebate"
2019-08-01 02:14:54,1969,1156750120450441216,394,"Here's the truth about Joe Biden's vote:

He wasn't opposed to the child care tax credit itself. He was opposed to this specific tax credit being made available to affluent people."
2019-08-01 02:14:54,2470,1156750119750045697,470,"This attack from Senator Gillibrand has been two weeks in the making, and it STILL isn’t accurate. Let's set the record straight:"
2019-08-01 02:10:00,2298,1156748884368080896,595,"Vice President Biden has fought for women's rights his whole career:

✓Wrote the Violence Against Women Act
✓Co-sponsored the Equal Rights Amendment 9 times
✓Lilly Ledbetter Fair Pay Act: 1st Obama-Biden bill signed into law 
✓Co-sponsored the Pregnancy Discrimination Act"
2019-08-01 02:06:33,641,1156748016759595008,174,"When it comes to trade, either we're going to write the rules of the road for the world or China is—and not in a way that advances our values. 

Meanwhile, this administration has launched trade wars against the very allies we need with us to change China’s behavior.
#DemDebate"
2019-08-01 01:57:58,923,1156745859658375173,196,"Biden will stand up to the abuse of power by polluters who disproportionately harm communities of color and low-income communities. He’ll work to ensure that communities across the country from Flint, MI to Harlan, KY to the NH Seacoast have access to clean, safe drinking water."
2019-08-01 01:53:39,604,1156744771798536192,145,"Joe Biden has received more than 100 endorsements from community leaders around the country, including Detroit's own @MayorMikeDuggan.
#DemDebate https://t.co/Bx0KDDtziE"
2019-08-01 01:52:01,925,1156744362216304640,249,"In 2009, the Obama-Biden administration made a big bet on rescuing the US auto industry. It paid off:

-More than 646,000 auto jobs
-Auto production doubled in the US
-Auto sales hit an all-time high

Detroit was on the front lines of that recovery.
#DemDebate"
2019-08-01 01:43:20,507,1156742176249929728,145,"Climate change requires drastic action.

Joe Biden has a comprehensive plan to tackle our climate emergency and environmental injustices head on: https://t.co/FbsOsyQkIo

#DemDebate https://t.co/g5dKbboPTV"
2019-08-01 01:40:59,471,1156741582269403136,130,"Climate change poses an existential threat to our health, our communities, our national security, and our economic well-being. 

As president, Biden will rally the world to address the climate emergency and lead through the power of example. #DemDebate https://t.co/q4HYwiqewK"
2019-08-01 01:34:07,713,1156739855608627200,164,"Two Delaware civil rights champions on the Joe Biden they know, and why they're proud to stand by him and call him a friend:
https://t.co/srdrKCA7Me"
2019-08-01 01:23:07,742,1156737086147497989,220,"If we want to talk about the Crime Bill, let's hear from the President who chose @JoeBiden as his running mate—twice. https://t.co/C3w9zpjrlS"
2019-08-01 01:20:58,1385,1156736547552681986,411,"The 1994 Crime Bill included: 

-The ground-breaking Violence Against Women Act
-Bans on assault rifles and high-capacity magazines
-Funding for drug courts and prevention

#DemDebate"
2019-08-01 01:19:16,417,1156736120358670336,110,"Joe Biden will strengthen America’s commitment to justice and reform by taking action to reduce our prison population, address racial disparities, and make our communities safer.
#DemDebate https://t.co/rVcRMKB3SH"
2019-08-01 01:14:36,470,1156734942333820930,146,"Joe Biden has the boldest, most comprehensive criminal justice reform proposal in this election. 

Read the full plan here: https://t.co/bnXs8KOAwh
#DemDebate https://t.co/0fMd6DujlO"
2019-08-01 01:12:32,803,1156734424526053376,210,"Under Medicare for All, Americans will see a new type of deductible in their paycheck. Medicare for All costs $30 trillion. Not sure what math they do in New York or California but that would be a lot of money. https://t.co/ifctf8g7pB"
2019-08-01 01:09:58,372,1156733779765006336,123,Las políticas de inmigración de Trump son un asalto a la dignidad humana. No somos un país que niegue a los niños jabón y cepillo de dientes. Esto no es lo que somos. #DemDebate
2019-08-01 01:09:41,928,1156733705232297985,218,Trump's immigration policies are an assault on human dignity. We aren't a country that denies children soap and a toothbrush. This is not who we are. #DemDebate
2019-08-01 01:00:16,2347,1156731336687853569,521,"Donald Trump is the problem with our immigration policy. He's using family separation as a weapon against desperate people seeking safety and a better life.

We need to defeat Donald Trump. #DemDebate"
2019-08-01 00:58:36,0,1156730918624735232,392,"RT @JoeBiden: As Vice President, Joe Biden worked with the leaders of the Northern Triangle (Guatemala, El Salvador, and Honduras) to insti…"
2019-08-01 00:52:16,450,1156729325464539136,148,Let’s get the facts straight: Medicare for All will cost 30x more than Joe Biden’s health care plan—and it will be paid for by raising taxes on the middle class. #DemDebate https://t.co/dlyVfenQFg
2019-08-01 00:50:50,962,1156728962560798721,241,"Because of the Affordable Care Act, 20 million Americans gained health insurance. Millions more gained critical protections. But the work isn’t over. As president, Biden won’t rest until everyone has access to the quality, affordable care they deserve. #DemDebate"
2019-08-01 00:48:59,795,1156728498037448704,201,"As Vice President, Biden was a champion for efforts to implement the federal mental health parity law, improve access to mental health care, and eliminate the stigma. 

As president, he'll enforce our mental health parity laws and expand funding for mental health services."
2019-08-01 00:44:12,497,1156727293991161862,167,Senator Harris’ Medicare for All plan still gets rid of employer-sponsored coverage and still costs 30x more than Joe Biden’s health care plan. Just changing the start date by 6 years doesn’t change the fact it is bad policy. #DemDebate https://t.co/CsBtsTevWE
2019-08-01 00:42:32,8043,1156726875370217473,1468,I’m running for president to restore the soul of this country...No one man has the capacity to rip that apart. It’s too strong. We're too good. https://t.co/qUDRRuY5Rg
2019-08-01 00:36:35,479,1156725378045685762,138,"In America, health care should be a right for all -- not a privilege for the wealthy few.

Joe Biden’s plan to protect and build on Obamacare is the best way to achieve universal coverage and lower costs: https://t.co/34NCSYhO2C https://t.co/jtA88ylrdp"
2019-08-01 00:33:52,446,1156724692042047488,149,Americans prefer protecting and building on Obamacare with a public option over Medicare for All: https://t.co/tNlPVLG1v8
2019-08-01 00:31:40,948,1156724141925556224,247,"Healthcare is the most important issue to Americans. Senator Harris won't be able to beat Trump with double-talk on healthcare.
We have a plan that builds on the ACA by giving Americans more choice, reducing health care costs, and making our health care system easier to navigate."
2019-08-01 00:29:56,2851,1156723702341472258,505,"Mr. President, this is America. We're stronger because of this diversity, not in spite of it. #DemDebate"
2019-08-01 00:03:07,867,1156716954314575872,579,Retweet if you’re proud to be on #TeamJoe! #DemDebate https://t.co/7XZeGxeQsQ
2019-08-01 00:01:22,647,1156716515095404544,99,"Hey everyone, @TeamJoe here! We’re taking over for tonight’s #DemDebate to give you the facts about Joe’s record on the issues and vision for our country. Stay tuned!"
2019-07-31 23:51:22,1044,1156713999825813504,110,Now I’m handing the account over to my team before I take the stage. They’ll keep you up-to-date on what’s happening at tonight’s #DemDebate. Make sure to follow along!
2019-07-31 23:51:22,1097,1156713998504603648,139,"We deserve leaders that unite us around our shared goals, rather than prey on our divisions. That’s why I’m running for president. To unite our country and put us on a different path — not back to a past that never was — but to a future that fulfills our true potential."
2019-07-31 23:51:22,107,1156713997611229184,26,"Detroit — and our country as a whole — is like its people: resilient and tough. Defined by a work ethic that is unmatched by any place in the world. And when given half a fighting chance, there’s nothing the American people can’t do."
2019-07-31 23:51:22,110,1156713996768153602,29,"As we gather in Detroit, it’s important that we recognize the significance of the Motor City. Because few cities embody the American spirit better than Detroit.

When it was knocked down flat on its back, it didn’t give up. It came roaring back."
2019-07-31 23:51:21,1449,1156713995702808577,194,"Tonight, I’ll take the stage in Detroit for the second #DemDebate. I’m excited to have the opportunity to discuss the issues on voters’ minds, why I’m running for president, and my bold vision for the future of our country."
2019-07-31 23:37:53,1666,1156710604289314816,172,I'm getting ready to take the stage in Detroit! Grateful to have my family by my side. https://t.co/fMe99KYAIK
2019-07-31 22:21:23,16016,1156691352983412737,3637,"Here's the deal, President Trump inherited the economy from the Obama-Biden Administration. And just like everything else he's been given in his life, he's in the process of squandering it. https://t.co/nSAOKwysmM"
2019-07-31 21:28:00,1177,1156677917469896704,228,I’ve got some exciting news: I am now on Snapchat! Subscribe to get a behind-the-scenes look at tonight’s #DemDebate and what’s happening on the campaign trail: https://t.co/AFamrxf91F https://t.co/LdYpSDWh9n
2019-07-31 19:25:00,7616,1156646963506368512,1164,"A car accident took the lives of my first wife and baby daughter. My family was fortunate to have health insurance, but that's not the case for many.
 
This is why I fight. I believe deeply that health care is a right for all—not a privilege for the few. https://t.co/qsyFHn8jH9"
2019-07-31 13:22:52,0,1156555830222831617,277,"RT @TeamJoe: Let's clear up the confusion about Medicare for All. We have the facts:

❌Costs 30x more than @JoeBiden’s plan
❌Only fully pai…"
2019-07-31 02:13:18,0,1156387329663258624,59,"RT @TeamJoe: A medida que los ricos se hacen más ricos, los estadounidenses de clase media se quedan atrás. Es hora de que comencemos a rec…"
2019-07-31 02:13:16,0,1156387322587488257,183,"RT @TeamJoe: As the rich get richer, middle-class Americans are being left behind. It’s time we start rewarding work, not wealth. As presid…"
2019-07-31 01:57:35,0,1156383375030214657,224,"RT @TeamJoe: President Trump doesn’t get the basics when it comes to tariffs. It’s American farmers, workers, and consumers who are paying…"
2019-07-31 01:42:57,0,1156379690904559622,90,RT @TeamJoe: We must recognize that the impacts of climate change disproportionately fall on communities of color and low-income communitie…
2019-07-31 01:22:00,1187,1156374417691369474,216,"On what would have been his 46th birthday, my thoughts are with the family of my friend Reverend Clementa Pinckney. As we celebrate his life, let's continue on his legacy by living with compassion, kindness, and a relentless dedication to improving the lives of others. https://t.co/qDFArjl5Gb"
2019-07-31 01:11:14,0,1156371709265686528,172,"RT @TeamJoe: .@JoeBiden is the only candidate who has defeated the @NRA on the national stage—and he did it twice. 

As president, he’ll do…"
2019-07-31 00:48:09,0,1156365898900475904,220,RT @TeamJoe: Obamacare prohibits insurance companies from denying coverage or increasing premiums due to pre-existing conditions—it was gro…
2019-07-30 23:02:04,0,1156339203824934912,69,"RT @TeamJoe: This Friday, @DrBiden will be in Iowa to meet members of the community! We hope to see you there. RSVP to join her in Glenwood…"
2019-07-30 23:01:58,0,1156339179527294976,74,"RT @TeamJoe: Nevada, this is big: @JoeBiden is heading your way this weekend! Join him in your community to talk about what’s at stake in t…"
2019-07-30 22:12:23,1234,1156326700759863296,284,"President Trump &amp; Betsy DeVos continue to roll back our progress on LGBTQ rights. No child should feel unsafe in school because of their sexual orientation or gender identity.

A Biden administration will ensure all of our young people are affirmed &amp; accepted exactly as they are. https://t.co/P9j6zoCFwz"
2019-07-30 21:09:28,1162,1156310866456981504,193,My plan builds on that legacy with a new public health insurance option like Medicare. Read the full plan here: https://t.co/34NCSYhO2C
2019-07-30 21:09:28,2317,1156310865324519424,329,"54 years ago, President Johnson signed Medicare and Medicaid into law. This landmark legislation changed the lives of millions by providing the peace of mind that comes with quality, affordable health care."
2019-07-30 19:32:05,608,1156286359541354496,151,"I’m grateful to Joe and Michelle for sharing their story and glad to hear Matthew is receiving the treatment he needs.

Read our full plan to protect and build on the Affordable Care Act to ensure everyone has access to the care they need: https://t.co/34NCSYhO2C https://t.co/RMwpEQE7bA"
2019-07-30 18:32:00,1789,1156271238471462912,421,"President Trump has failed on his promises for American workers time and time again. We need to rebuild the middle class, and this time make sure everybody comes along — regardless of race, gender, religion, sexual orientation, or disability. https://t.co/Df7rHBCzLp"
2019-07-30 00:58:00,5437,1156005990061318145,1549,"Two years ago, President Trump gave giant tax cuts to the super-wealthy and corporations. Now, he wants to rip free school lunches away from kids who need help the most. It’s heartless. No kid should go hungry in America. https://t.co/TybdVnFjLH"
2019-07-29 23:15:00,3289,1155980069384282112,591,"We have a moral obligation to do everything in our power to stop America’s gun violence epidemic — that starts with taking on the powerful gun lobby and passing common-sense gun safety laws.

I’ve beaten the @NRA twice. And I’ll do it again in the White House."
2019-07-29 22:33:11,1393,1155969547343556608,318,The Affordable Care Act changed the life of @DrBiden’s sister — like it did millions of Americans — by giving her access to the health care she needed. We can’t afford to start over. https://t.co/ixdpu8bQGv
2019-07-29 21:01:00,6769,1155946347280916480,1350,.@TheRevAl is a champion in the fight for civil rights. The fact that President Trump continues to use the power of the presidency to unleash racist attacks on the people he serves is despicable. This hate has no place in our country. It's beneath the dignity of the office.
2019-07-29 18:55:43,719,1155914818202865665,140,"Iowa, I have some big news: @DrBiden is heading your way on August 1st to open two of our field offices. Join her in Sioux City: https://t.co/h1olJlsQuc or Council Bluffs: https://t.co/1PoR8mdfT2. https://t.co/79BfOWQrIh"
2019-07-29 15:45:00,796,1155866822979178496,168,We’re gathering #TeamJoe in Detroit on July 30th and 31st to show the power of our grassroots movement at the second debate. I hope to see you there! RSVP at  https://t.co/9dh6RvZ9bO.
2019-07-29 04:51:32,8883,1155702372338937861,1987,"This violence is not normal. How many more families will have to lose a loved one before we fix our broken gun laws? We must take action, starting with real reform.

Our thoughts are with everyone in Gilroy this evening. Enough is enough. https://t.co/wHqY9RE8Nu"
2019-07-28 21:05:00,1497,1155584966186717185,355,"Instead of starting from scratch, we need to build on the Affordable Care Act. I'll expand on the progress we made—giving Americans more choice, reducing health care costs, and making our health care system less complex to navigate.

Read my full plan at https://t.co/gm6jgUINzt"
2019-07-28 20:19:00,2932,1155573389471305728,530,"Far too often, students who experience mental health problems do not get the care they need. As President, I will double the number of mental health professionals in schools to give our kids the support they deserve.
https://t.co/hHruW4wDtx"
2019-07-28 17:23:00,663,1155529097612677121,134,"We need to show the power of our grassroots movement. If you’re in the Detroit area, come together with #TeamJoe in your community outside of the second debate on July 30 and 31. RSVP at https://t.co/9dh6RvZ9bO."
2019-07-28 15:24:00,1736,1155499150454095872,268,"Congratulations to our @TeamJoe #DemDebate contest winner—Kellie from North Carolina!

Can’t wait to see you at the debate in Detroit on July 31st, Kel! https://t.co/MmJ4Ye8VqR"
2019-07-28 14:06:38,2165,1155479682990714880,317,I worked hard to pass the Affordable Care Act—it was a milestone for American health care. I will continue to oppose every effort to tear it down. We have come too far to start over. Read my plan to protect and build on Obamacare at https://t.co/gm6jgUINzt
2019-07-28 14:06:38,2799,1155479681954717696,448,"Since the historic passage of the Affordable Care Act, Congressional Republicans have been fighting to it tear down. Two years ago today, they continued their crusade in an attempt to pass a “skinny repeal” of Obamacare—it failed."
2019-07-27 19:11:00,1268,1155193889105600513,388,"Trump’s trade wars are squeezing American farmers. In states like South Dakota—where agriculture is a top industry—effects go well beyond farms. As president, I'd join together with our allies &amp; stand up to China to ensure our policies work for our farmers.https://t.co/CEm0IRZIg0"
2019-07-27 18:02:02,63055,1155176535428460545,11489,.@RepCummings is one of the finest people I’ve ever served with. It is despicable for you to attack him and the people of Baltimore this way. Once again you have proved yourself unfit to hold the office. A President is supposed to lift this nation up. Not tear it down.
