Date,Favorite,ID,Retweet,Text
2019-08-01 13:31:59,4162,1156920512179818502,782,I'm not only going to be Commander in Chief. I am going to be Organizer in Chief. https://t.co/bBWYvN4iyj
2019-08-01 11:57:36,0,1156896762008875009,55,"RT @CBSNews: AHEAD: @BernieSanders joins @CBSThisMorning following the #DemDebates in Detroit.

We’ll hear his take on his Democratic rival…"
2019-08-01 03:11:39,0,1156764399648026624,181,RT @CBSThisMorning: TOMORROW: Senator @BernieSanders will join us live for his first network interview following the #DemDebates in Detroit…
2019-07-31 23:45:13,10278,1156712451683094533,2476,It is not enough to defeat Donald Trump. We must end the corruption of the ruling class by building a mass movement of people and transforming the country. https://t.co/vPyNbmvBJK
2019-07-31 22:42:33,11132,1156696677870383104,3024,I said greedy health care companies would buy ads lying about Medicare for All during CNN's debate. I was right. We're going to end their greed. https://t.co/f8HHbegez4
2019-07-31 21:51:31,0,1156683836702580738,287,RT @ninaturner: Are you a student? Are you committed to the political revolution? Are you excited about @BernieSanders becoming the next Pr…
2019-07-31 21:22:44,6064,1156676593831555072,982,Pete Buttigieg is right. We need a candidate with the right vision for America. https://t.co/noxB0yKMYh
2019-07-31 20:41:12,19263,1156666141080739841,2567,They should be scared. We're going to win and end their greed. https://t.co/TltCuLLaMs
2019-07-31 19:27:47,5703,1156647665037447168,1273,"This is the power of our movement.

Since yesterday, we've raised more than $1.1 million from 70,000 donations.

We are going to defeat Donald Trump because we have a mass movement of people ready to fight for justice. https://t.co/2pdoaR5VYM"
2019-07-31 17:37:26,10069,1156619894751977473,2397,"Democrats should not be using Republican talking points about Medicare for All.

The truth: Medicare for All will save the American people money and end the disgrace of our profit-driven system. https://t.co/Rjp66UmEJO"
2019-07-31 15:54:34,129460,1156594006421385216,26257,"I'm angry because multi-millionaires like you and Trump have rigged our economy at the middle class' expense.

I'm angry because millions are living paycheck to paycheck.

I'm angry because 34 million Americans are uninsured.

Why doesn't that anger you? https://t.co/bhpn8Kgb9T"
2019-07-31 03:35:52,0,1156408108173942785,2134,"RT @RoKhanna: .@BernieSanders opposed the Iraq War when it was unpopular.

He supported my War Powers Resolution to end involvement in Yeme…"
2019-07-31 03:35:13,35658,1156407943807606786,3824,She’s right. https://t.co/6BodxR4SLJ
2019-07-31 03:06:26,54404,1156400698566819842,7838,"I'm not just running to defeat the most dangerous president in our history, who is a racist, a sexist and a homophobe.

I'm running to transform this country and to stand with the working class of America. #DemDebate"
2019-07-31 02:50:59,4589,1156396811675824128,909,Bernie just won the #DemDebate. Tune in - we're taking as many questions as we can about tonight's biggest moments. https://t.co/1rh2WE0bwl
2019-07-31 02:50:08,7510,1156396598282346496,1935,"A few days ago, I took diabetics across the border to Canada to buy insulin.

There, it costs 1/10th the price that it does in the United States. 

That tells us a great deal about our health care system today. #DemDebate https://t.co/VSkivPXFmr"
2019-07-31 02:30:59,3186,1156391778540576769,708,I challenge all my opponents: put the American people first. Join me in pledging not to take contributions from the health insurance or pharmaceutical industry. #DemDebate https://t.co/1f0HThs0Vo
2019-07-31 02:12:12,23352,1156387052059054081,2883,Trump is a pathological liar. I tell the truth. #DemDebate
2019-07-31 02:07:32,4207,1156385877062553601,952,The health care industry will spend millions to defeat us and protect their profits. But we're going to win. #DemDebate https://t.co/uB5uFrGMJt
2019-07-31 02:01:43,13033,1156384414483591168,2338,"If anyone thinks that corporate America gives a damn about the average American you are mistaken.

If they can save 5 cents they will ship jobs to China. #DemDebate"
2019-07-31 01:42:02,4827,1156379461157314561,889,We are going to defeat Donald Trump (and beat him badly) because we are going to expose him as a fraud and a phony. #DemDebate https://t.co/0mA4oPLWuo
2019-07-31 01:37:34,4621,1156378334584066049,1058,"Don't tell me what's in Medicare for All. I wrote the damn bill! #DemDebate

Make a contribution and get our sticker now --&gt; https://t.co/cGNDyKXZ5k"
2019-07-31 01:32:21,33893,1156377022228246528,5568,"I get a little tired of Democrats afraid of big ideas. If Republicans could give trillions in tax breaks to billionaires, please don't tell me we cannot take on the fossil fuel industry. #DemDebate"
2019-07-31 01:18:42,6057,1156373589597310978,1208,Mark my words: We are going to defeat Donald Trump and beat him badly. #DemDebate https://t.co/8KkIJMFm5W
2019-07-31 01:16:02,0,1156372916700962818,3282,"RT @People4Bernie: ""Maybe you did that and made money off healthcare, but our job is to run a nonprofit healthcare system"" @BernieSanders #…"
2019-07-31 01:15:18,6271,1156372733720236033,1709,"Una madre y niño que caminan 1,000 millas huyendo de la violencia no son criminales. Fin de la discusión. #DemDebate"
2019-07-31 01:11:08,0,1156371684582219777,858,"RT @UFCW: .@BernieSanders is right. Amazon paid $0 in taxes on over $10 billion in profits. 

All while the avg American pays $10,489 in ta…"
2019-07-31 01:10:54,0,1156371626960834561,929,"RT @NPR: Bernie Sanders said in his opening statement that half of Americans are “living paycheck to paycheck.""

That's true, according to…"
2019-07-31 01:06:06,5039,1156370418414030849,865,"We must end the epidemic of gun violence in this country. As president I will:

✅ take on the NRA
✅ expand background checks
✅ end the gun show loophole
✅ ban the sale and distribution of assault weapons.

#DemDebate"
2019-07-31 01:00:47,62193,1156369080561098757,13713,I wrote the damn bill! #MedicareForAll #DemDebate https://t.co/4YtVuDbPWc
2019-07-31 00:57:18,32720,1156368204631089155,5725,"A mother and child who walk 1,000 miles fleeing violence are not criminals. End of discussion. #DemDebate"
2019-07-31 00:52:15,9205,1156366930191749122,1898,"Medicare for All means expanding benefits to include dental care, eyeglasses and hearing aids. I know that because I wrote the damn bill. #DemDebate"
2019-07-31 00:49:33,4415,1156366251746299906,1311,"It's disappointing to see some Democrats repeating a lie you normally hear from health insurance lobbyists to attack Medicare for All. In a Bernie Sanders administration, hospitals that provide necessary care to their communities will stay open, period. https://t.co/xSz9snQfCV"
2019-07-31 00:46:26,1940,1156365466136403969,535,Amy Vilela's daughter died because of the greed of our health care system. We need Medicare for All. Nothing less. #DemDebate https://t.co/K49TatcUrM
2019-07-31 00:42:13,4293,1156364405510201344,945,"There are millions of people who HAVE insurance who still can’t afford to go to the doctor, or come out of the hospital bankrupt.

Medicare for All means:
✅ no copays
✅ no deductibles
✅ no premiums 

#DemDebate"
2019-07-31 00:37:02,4797,1156363100569907205,1099,John Delaney is wrong. We cannot allow private health insurance companies to make billions in profits while Americans die because they can't afford health care. #DemDebate https://t.co/zLEkVQaPEK
2019-07-31 00:35:35,1470,1156362739545247749,269,"Cada año, millones de personas pierden su seguro médico. Si desea seguridad y libertad de elección en un sistema de atención médica que no lo llevará a la bancarrota, la respuesta es Medicare para todos. #DemDebate"
2019-07-31 00:30:53,4410,1156361553131823106,1222,"Tonight 34 million Americans are uninsured but health insurance and drug companies made $100 billion in profits last year.

People are homeless but companies like Amazon did not pay a nickel in income tax.

We have to come together to transform this country. #DemDebate https://t.co/A42U4j9dYF"
2019-07-31 00:30:18,2725,1156361410038906881,631,"Tens of millions of people lose their health insurance every year. If you want security and freedom of choice in a health care system which will not bankrupt you, the answer is Medicare for All. #DemDebate"
2019-07-31 00:20:43,0,1156358996686770178,460,RT @ninaturner: News Flash: #DemDebate #Bernie2020 https://t.co/F2ySBmdGHj
2019-07-30 22:57:12,1296,1156337978014232576,342,The second Democratic debate with Bernie Sanders is about to start. What do you want to see tonight? Join the conversation and donate at https://t.co/3BbQ1L1yES https://t.co/iihlNKrlNM
2019-07-30 22:31:23,866,1156331480131522564,195,Tonight I'll be on stage at the second Democratic debate. Coming up soon: tune in at 7 ET for a live pre-show with Team Bernie at https://t.co/vreIiWfeoS. https://t.co/601BjkFWUB
2019-07-30 22:31:12,0,1156331435470532608,2035,RT @PramilaJayapal: I appreciate the robust healthcare debate my Democratic colleagues have brought to the table. But as lead sponsor of #M…
2019-07-30 22:24:07,8622,1156329651394007040,1790,"54 years ago today, LBJ signed Medicare into law, guaranteeing health care to people 65 and older.

At the time it was called ""socialist"" by opponents. Half a century later it is still incredibly popular.

When we are in the White House, we will expand Medicare to ALL."
2019-07-30 21:21:55,0,1156314000361172992,6246,RT @iamcardib: Hey guys make sure ya watch the debate tonight!
2019-07-30 21:13:56,0,1156311989385404421,144,RT @QuinnNystrom: Waiting in line to get into the Fox  Theatre for the Democratic Presidential Debate! So honored to be Senator ⁦@BernieSan…
2019-07-30 19:59:32,8993,1156293266259742722,1614,Are you ready for a radical statement? When elected president I will not reappoint Betsy DeVos as Education Secretary. https://t.co/lRjV8nEZkG
2019-07-30 18:22:53,14022,1156268943008522241,2623,I don't think the purpose of government should be to protect the wealth of the rich and powerful corporations like it does today. I think it should be to support the needs of working people.
2019-07-30 16:15:33,2302,1156236900405055488,595,My pledge: to not take contributions from the health insurance or pharmaceutical industry and instead prioritize the health of the American people over health industry profits. I ask all my fellow candidates to do the same: https://t.co/1f0HThs0Vo
2019-07-30 15:13:38,12537,1156221317814849536,2323,"Unlike Trump, I grew up in a rent-controlled apartment.

Unlike Trump, I don't think we should slash federal housing programs, raise rents on low-income Americans and encourage gentrification.

Unlike Trump, I believe housing is a right.
https://t.co/77oubzvPcf"
2019-07-30 13:35:40,9329,1156196665252093952,1857,"The billionaire class will be behind Trump with endless amounts of money. We need an energized population of young people, working-class people and people of color—and the largest voter turnout by far in history—to beat him. And our campaign is going to do that."
2019-07-30 03:07:18,48009,1156038529085915136,8412,"Today @iamcardib and I finally met. We had a great conversation about the future of America. 

And let me tell you: Cardi B is right.

Together, we’ll get millions of young people involved in the political process and transform this country. Stay tuned for our video coming soon! https://t.co/L9mQ8InMZu"
2019-07-29 22:38:50,22765,1155970968776368128,4382,"I have been criticized for saying this, but I do not believe CEOs of pharmaceutical companies should be making tens of millions of dollars a year while working people are dying from rationing their medicine."
2019-07-29 21:48:49,0,1155958382982885382,278,"RT @janeosanders: With @RashidaTlaib, @BullockSenator, and other elected officials/community leaders honoring this community's work to reco…"
2019-07-29 21:43:54,6313,1155957144862089223,1165,We cannot continue to allow private health insurance companies to make massive profits by denying care to those that need it. That is fundamentally immoral and that is why we need Medicare for All.
2019-07-29 20:27:39,15570,1155937955384451073,3018,"Why does Trump continue to use racism, bigotry and xenophobia to divide us?

Because he can only win when the people of this country turn against each other.

We are much more powerful than him, and the rest of the billionaire class, when we are united."
2019-07-29 19:18:21,31694,1155920517301448705,6333,"Greed is the religion of the billionaire class. And a nation based on greed will not survive morally, economically or politically.

That is why we fight to take power back from the billionaires and put it in the hands of the people, where it belongs."
2019-07-29 18:24:35,0,1155906985377894400,4539,RT @iamcardib: Talk about it ...they hate to see it. https://t.co/MIoM0Jpuhc
2019-07-29 17:37:25,9255,1155895114314784768,2333,I can’t believe I have to say this: No child is a criminal and no child should be put into cages. We need real immigration reform that treats people with dignity. https://t.co/Xx9ujW49s3
2019-07-29 16:22:04,5097,1155876153460047872,972,"It will take political courage and a mass movement of people, but the bottom line is: we do not have to tolerate that one in five adults in America cannot afford their prescriptions while pharmaceutical company CEOs make millions."
2019-07-29 15:55:45,1417,1155869529282621441,384,The IBU just voted to strike for the first time in 42 years. They are striking for better working conditions and fully-funded ferry service for the community. I stand with the IBU in this and urge @GovDunleavy to bargain in good faith with these workers. https://t.co/IWgcMMJdKK
2019-07-29 13:31:11,13485,1155833149240348672,2386,"Trump's lies and racism never end. 

While I have been fighting to lift the people of Baltimore and elsewhere out of poverty with good paying jobs, housing and health care, he has been attacking workers and the poor. https://t.co/7N0K4GQgEO"
2019-07-29 12:31:29,15926,1155818123565641728,3336,"This is sickening to wake up to. 

Our corrupt political system, which is controlled by the gun lobby, has a lot of waking up to do.

When our children are being shot in places that should be safest, we're failing. Let's get serious about gun control. https://t.co/gzQHkQoFf2"
2019-07-29 00:58:42,18007,1155643779480719360,5877,"This family was able to save $10,000 buying insulin for their son in Canada, where the exact same insulin is one-tenth the price.

The profits the drug companies are making ripping off the American people is scandalous, it is outrageous and it has got to end. https://t.co/Rew4ftIo0o"
2019-07-28 22:40:50,0,1155609082092544006,542,RT @BreatheNewWinds: @BernieSanders @People4Bernie @OFB2020 @andyg_live @SenSanders Hunter Sego started rationing his insulin when he found…
2019-07-28 20:02:12,18089,1155569161541685248,5794,"This vial of insulin costs just $6 to manufacture.

At this pharmacy in Windsor, Ontario, it can be purchased for $32. Twenty minutes away, in Detroit, the same exact vial costs $340.

It is time for a government that works for the American people, not drug companies' profits. https://t.co/Uo2T8GG54T"
2019-07-28 19:38:39,0,1155563238161076224,1435,"RT @People4Bernie: @BernieSanders Incredibly emotional moment in Canada: ""Today I saved $10,000. $1000 got me 6 months of insulin for my so…"
2019-07-28 17:13:18,0,1155526658063052800,82892,"RT @tylerevansokay: 🇨🇦: insulin manufactured for around $6
🇺🇸: insulin manufactured for around $6

🇨🇦: insulin costs $32
🇺🇸: insulin costs…"
2019-07-28 16:58:02,15789,1155522813995966467,3383,"Three drug companies control 90 percent of the insulin market, and year after year they raise the price of insulin at the same levels.

I will appoint an Attorney General who will enforce our antitrust laws, and executives caught engaging in price-fixing will go to jail."
2019-07-28 16:33:04,0,1155516531771695104,1306,"RT @People4Bernie: ""Three drug companies made $14.5 billion in profit last year, control 90% of the insulin in this country, it's just an a…"
2019-07-28 16:32:03,0,1155516275046699013,415,RT @QuinnNystrom: Traveling to 🇨🇦 today w/ ⁦@SenSanders⁩ and a group of ppl w/ type 1 diabetes who desperately need affordable insulin. For…
2019-07-28 16:31:04,0,1155516029147242496,530,RT @oh_eyelean: I’m incredibly overwhelmed seeing all the tweets about this trip. I vividly remember dropping a vial of Lantus when I was 1…
2019-07-28 16:01:12,0,1155508514355331072,233,RT @amybwang: .@QuinnNystrom buys a vial of insulin that will last her 1-2 weeks. It retails on average for $340 in the U.S. In Canada it s…
2019-07-28 16:00:19,0,1155508291415564294,243,RT @CarmenYulinCruz: Es increíble que se pueda comprar insulina en Canada por una décima parte de lo que se compra en USA. Bernie Sanders d…
2019-07-28 15:54:36,3522,1155506853012561922,836,LIVE NOW: I’m in Canada with diabetics buying insulin at one-tenth the price that they pay in the U.S. We will take on the greed of the pharmaceutical industry. https://t.co/9JHhcLD7tI
2019-07-28 15:53:01,0,1155506454675316736,388,RT @CarmenYulinCruz: This is something that must change and @BernieSanders will get it done. It is a crime that you can buy the same medici…
2019-07-28 15:47:39,0,1155505104797294595,538,RT @LaurenMGibbons: Sen. Bernie Sanders visits Canadian pharmacy with US citizens getting insulin. Big crowd gathered https://t.co/XKDbZFYu…
